Id,Condition 1,Condition 2,Overall Qual,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,1st Flr SF,Gr Liv Area,Kitchen Qual,Functional,Garage Finish,Garage Cars,Garage Area,SalePrice
109,RRAe,Norm,6,Gd,TA,CBlock,TA,TA,725.0,725,1479,Gd,Typ,RFn,2.0,475.0,130500
544,Norm,Norm,7,Gd,TA,PConc,Gd,TA,913.0,913,2122,Gd,Typ,RFn,2.0,559.0,220000
153,Norm,Norm,5,TA,Gd,CBlock,TA,TA,1057.0,1057,1057,Gd,Typ,Unf,1.0,246.0,109000
318,Norm,Norm,5,TA,TA,PConc,Gd,TA,384.0,744,1444,TA,Typ,Fin,2.0,400.0,174000
255,Norm,Norm,6,TA,TA,PConc,Fa,Gd,676.0,831,1445,TA,Typ,Unf,2.0,484.0,138500
138,PosA,Norm,6,Gd,TA,CBlock,TA,TA,1517.0,1888,1888,Gd,Mod,Fin,2.0,578.0,190000
2827,Norm,Norm,6,TA,TA,PConc,Gd,TA,547.0,1072,1072,TA,Typ,Fin,2.0,525.0,140000
145,Norm,Norm,5,TA,TA,CBlock,TA,TA,1188.0,1188,1188,TA,Typ,RFn,2.0,531.0,142000
1942,Artery,Norm,5,TA,TA,CBlock,TA,TA,924.0,924,924,TA,Typ,Unf,1.0,420.0,112500
1956,Norm,Norm,5,TA,TA,PConc,Gd,TA,1040.0,1040,2080,Fa,Typ,Unf,2.0,504.0,135000
1044,Norm,Norm,6,TA,TA,CBlock,TA,TA,483.0,483,987,TA,Typ,Unf,1.0,264.0,85400
2752,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1208.0,1208,1208,Gd,Typ,RFn,2.0,632.0,183600
807,Feedr,Norm,5,Gd,TA,PConc,Not Applicable,Not Applicable,0.0,1288,2016,TA,Mod,Unf,2.0,576.0,131000
1177,Norm,Norm,8,Gd,TA,PConc,Gd,TA,960.0,962,1607,Gd,Typ,Unf,2.0,480.0,200000
1480,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1351.0,1361,1361,Gd,Typ,RFn,2.0,610.0,193000
324,Norm,Norm,5,TA,TA,PConc,Ex,TA,1430.0,1430,1430,Gd,Typ,RFn,2.0,624.0,173500
1311,Norm,Norm,5,TA,TA,BrkTil,TA,TA,624.0,624,1344,TA,Typ,Unf,3.0,513.0,98000
770,Feedr,Norm,5,TA,TA,PConc,TA,TA,1121.0,1121,1121,TA,Typ,Unf,2.0,480.0,139000
2063,Norm,Norm,6,TA,TA,CBlock,TA,TA,660.0,1285,1285,TA,Typ,RFn,2.0,528.0,143500
69,Norm,Norm,7,TA,TA,PConc,Gd,TA,756.0,764,1547,Gd,Typ,Unf,2.0,614.0,215200
2062,Norm,Norm,5,TA,TA,CBlock,Gd,TA,894.0,894,894,TA,Typ,Fin,2.0,450.0,129000
351,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1501.0,1659,1659,Ex,Typ,Fin,2.0,499.0,278000
2393,Norm,Norm,8,Gd,TA,PConc,Ex,TA,1209.0,1209,2253,Ex,Typ,Fin,2.0,575.0,344133
12,Norm,Norm,6,TA,Gd,PConc,Gd,TA,1168.0,1187,1187,TA,Typ,Fin,2.0,420.0,185000
2339,Norm,Norm,5,TA,TA,CBlock,TA,TA,1056.0,1056,1056,TA,Typ,Fin,2.0,572.0,145000
624,Norm,Norm,6,TA,TA,CBlock,TA,TA,1453.0,1453,1453,TA,Typ,RFn,2.0,530.0,187500
86,RRAe,Norm,5,TA,Gd,CBlock,TA,TA,894.0,894,894,TA,Typ,Unf,1.0,336.0,138500
1534,Norm,Norm,5,TA,TA,CBlock,TA,TA,942.0,1265,1938,Gd,Min2,Unf,1.0,240.0,198000
2243,Feedr,Norm,5,TA,Gd,CBlock,TA,TA,957.0,1034,1991,TA,Typ,Not Applicable,0.0,0.0,119600
1957,Artery,Norm,5,TA,Gd,CBlock,TA,TA,672.0,672,924,TA,Typ,Unf,2.0,576.0,122900
380,PosN,Norm,8,Gd,TA,PConc,Gd,TA,2524.0,2524,2524,Gd,Typ,Fin,2.0,542.0,278000
2860,Norm,Norm,8,TA,TA,PConc,Gd,TA,792.0,792,1517,Gd,Typ,Unf,2.0,400.0,230000
2517,Norm,Norm,8,Gd,Gd,PConc,Gd,Gd,1494.0,1494,1494,Ex,Typ,Fin,2.0,481.0,270000
1933,Norm,Norm,6,TA,TA,CBlock,TA,TA,948.0,948,948,TA,Typ,Unf,2.0,410.0,125000
820,Norm,Norm,8,Gd,TA,PConc,Ex,TA,1705.0,1718,1718,Gd,Typ,RFn,3.0,826.0,297000
675,Norm,Norm,6,TA,TA,CBlock,Gd,TA,160.0,1142,1142,TA,Typ,RFn,1.0,384.0,113500
2910,Norm,Norm,5,TA,TA,PConc,TA,TA,757.0,925,1475,TA,Typ,RFn,1.0,336.0,127000
21,Norm,Norm,6,TA,TA,CBlock,Gd,TA,1844.0,1844,1844,TA,Typ,RFn,2.0,546.0,190000
1873,Norm,Norm,7,TA,TA,CBlock,TA,TA,1242.0,1242,1242,TA,Typ,Unf,2.0,528.0,175500
2125,Norm,Norm,5,TA,Gd,PConc,Gd,Gd,990.0,990,990,TA,Typ,Unf,1.0,384.0,146000
1489,Norm,Norm,5,Gd,TA,CBlock,TA,TA,1256.0,1256,1256,TA,Typ,Fin,1.0,276.0,147500
2383,Norm,Norm,10,Ex,TA,PConc,Ex,Gd,2076.0,2076,2076,Ex,Typ,Fin,3.0,850.0,465000
983,Norm,Norm,5,TA,Gd,PConc,Gd,TA,1097.0,1110,1110,Gd,Typ,Fin,2.0,602.0,165500
1325,Norm,Norm,5,TA,TA,BrkTil,TA,TA,1050.0,1050,1795,TA,Typ,Unf,1.0,352.0,131500
1378,Norm,Norm,5,TA,TA,CBlock,TA,TA,1040.0,1040,1040,TA,Typ,Unf,1.0,384.0,129500
1537,Norm,Norm,8,TA,TA,PConc,TA,Fa,608.0,983,1873,TA,Typ,Fin,2.0,786.0,257076
905,Norm,Norm,5,TA,TA,CBlock,TA,TA,984.0,984,1604,TA,Min2,Unf,2.0,660.0,117000
1532,Norm,Norm,7,TA,Fa,BrkTil,Gd,TA,776.0,851,1502,TA,Typ,RFn,1.0,270.0,149000
132,Norm,Norm,5,TA,TA,CBlock,TA,TA,1056.0,1063,1063,TA,Typ,RFn,1.0,280.0,128000
1078,Norm,Norm,7,Gd,TA,PConc,Gd,TA,764.0,764,1626,Gd,Typ,RFn,2.0,474.0,155000
2511,Norm,Norm,6,Gd,TA,PConc,Gd,TA,756.0,768,1524,Gd,Typ,Unf,2.0,440.0,166000
912,Norm,Norm,4,TA,TA,BrkTil,TA,TA,1122.0,1328,1981,Gd,Min2,Unf,2.0,576.0,135000
2351,RRAn,Norm,7,TA,TA,CBlock,Gd,TA,1392.0,1392,2784,Gd,Typ,RFn,2.0,564.0,250000
330,Norm,Norm,4,TA,TA,CBlock,TA,TA,546.0,546,1092,TA,Typ,Not Applicable,0.0,0.0,76000
2586,Norm,Norm,6,TA,TA,CBlock,TA,TA,216.0,1575,1575,Gd,Typ,Unf,2.0,400.0,155000
224,Norm,Norm,6,TA,TA,CBlock,TA,TA,663.0,663,1352,TA,Typ,Fin,1.0,299.0,158000
98,Norm,Norm,7,Gd,TA,PConc,Gd,TA,600.0,600,1200,Gd,Typ,RFn,2.0,480.0,149500
2565,Norm,Norm,5,TA,Gd,CBlock,TA,TA,936.0,936,936,TA,Typ,Unf,1.0,240.0,121000
1934,Norm,Norm,6,TA,TA,CBlock,TA,TA,1040.0,1040,1040,TA,Typ,Fin,1.0,293.0,136000
997,Norm,Norm,6,TA,TA,PConc,Gd,TA,916.0,916,1636,TA,Typ,Fin,2.0,386.0,173000
64,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1152.0,1164,2270,Gd,Typ,Fin,3.0,671.0,290000
1799,Norm,Norm,8,Gd,TA,PConc,Gd,TA,1184.0,1184,2610,Ex,Typ,Fin,2.0,550.0,303477
230,Norm,Norm,7,Gd,Gd,CBlock,Gd,TA,1420.0,1483,1483,TA,Typ,RFn,2.0,690.0,270000
1295,Artery,Norm,5,Fa,Fa,BrkTil,TA,TA,936.0,960,1740,Ex,Typ,Unf,1.0,225.0,122250
638,Norm,Norm,5,TA,TA,CBlock,TA,TA,1382.0,1382,1382,Gd,Typ,Unf,1.0,350.0,153000
2278,Feedr,Norm,5,TA,TA,PConc,Gd,TA,1120.0,1120,1120,TA,Typ,Not Applicable,0.0,0.0,147000
2202,Norm,Norm,7,TA,TA,BrkTil,Gd,TA,531.0,567,1098,TA,Typ,Unf,1.0,216.0,148500
2833,Norm,Norm,7,Gd,TA,PConc,Gd,TA,976.0,976,1708,Gd,Maj1,Unf,2.0,380.0,130000
1707,Norm,Norm,9,Ex,TA,PConc,Ex,TA,1802.0,1802,1802,Ex,Typ,Fin,3.0,843.0,372000
2428,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1362.0,1506,1506,Gd,Typ,Fin,2.0,440.0,213490
242,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1508.0,1508,1508,Gd,Typ,RFn,2.0,572.0,308030
1564,Norm,Norm,7,Gd,TA,PConc,Ex,TA,1840.0,2032,2032,Gd,Typ,Fin,3.0,786.0,300000
2613,Norm,Norm,6,TA,TA,CBlock,TA,TA,655.0,1194,1194,TA,Typ,Fin,2.0,539.0,159500
2832,Norm,Norm,7,Gd,TA,PConc,Gd,TA,970.0,970,1709,Gd,Maj1,Unf,2.0,380.0,137500
2459,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1616.0,1616,1616,Gd,Typ,RFn,3.0,834.0,232000
1360,RRNe,Norm,6,Gd,Gd,BrkTil,TA,TA,768.0,768,768,TA,Typ,Unf,2.0,440.0,93850
2723,Norm,Norm,5,TA,TA,BrkTil,TA,TA,872.0,872,872,Fa,Mod,Unf,1.0,322.0,105000
1350,Feedr,RRNn,4,TA,TA,BrkTil,TA,TA,520.0,520,520,Fa,Typ,Unf,1.0,240.0,68500
136,Feedr,Norm,5,TA,TA,CBlock,TA,TA,1105.0,1105,2274,TA,Typ,Unf,2.0,480.0,154300
2235,Artery,Norm,5,Gd,Gd,BrkTil,TA,Po,936.0,936,1601,TA,Typ,Not Applicable,0.0,0.0,129850
1993,Norm,Norm,5,TA,TA,BrkTil,TA,TA,616.0,616,1232,TA,Typ,Unf,2.0,480.0,114000
367,Norm,Norm,9,Ex,TA,PConc,Ex,TA,2216.0,2234,2234,Ex,Typ,Fin,3.0,1166.0,501837
1309,Artery,Norm,5,TA,TA,BrkTil,TA,TA,876.0,876,1416,TA,Typ,Unf,3.0,720.0,153900
402,Norm,Norm,4,TA,Gd,CBlock,TA,TA,864.0,864,864,TA,Typ,Unf,2.0,576.0,130000
1592,Norm,Norm,6,TA,TA,PConc,Ex,TA,1189.0,1189,1189,TA,Typ,RFn,2.0,392.0,160500
2409,Norm,Norm,9,Ex,TA,PConc,Ex,Gd,1666.0,1666,1666,Gd,Typ,RFn,2.0,575.0,310090
539,Norm,Norm,7,Gd,TA,PConc,Gd,TA,1176.0,1200,1200,Gd,Typ,RFn,2.0,555.0,184900
1940,Norm,Norm,5,TA,TA,CBlock,Gd,TA,928.0,928,928,TA,Typ,Unf,1.0,252.0,132000
588,Feedr,Norm,5,TA,TA,CBlock,Gd,TA,1288.0,1336,1336,TA,Typ,RFn,2.0,502.0,163000
96,Norm,Norm,7,Gd,TA,PConc,Gd,TA,600.0,600,1200,Gd,Typ,RFn,2.0,480.0,155000
1187,Norm,Norm,6,TA,TA,CBlock,TA,TA,1427.0,1427,1427,TA,Typ,RFn,2.0,516.0,183000
